local code,text,table_name,parent_varname,local code system,mapping relationship,code,display,code system,comment
Sibling,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:375005,Sibling,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Sister,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:27733009,Sister,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Uncle,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:38048003,Uncle,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Wife,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:127850001,Wife,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Female,,Subject,,https://anvilproject.org//sex,equivalent,SNOMED:248152002,Female,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Intersex,,Subject,,https://anvilproject.org//sex,equivalent,SNOMED:32570691000036108,Intersex,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Male,,Subject,,https://anvilproject.org//sex,equivalent,SNOMED:248153007,Male,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Unknown,,Subject,,https://anvilproject.org//sex,equivalent,SNOMED:261665006,Unknown,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
American Indian or Alaskan Native,,Subject,,https://anvilproject.org//ancestry,equivalent,1002-5,American Indian or Alaska Native,http://terminology.hl7.org/NamingSystem/CDCREC,
Asian,,Subject,,https://anvilproject.org//ancestry,equivalent,2028-9,Asian,http://terminology.hl7.org/NamingSystem/CDCREC,
Black or African American,,Subject,,https://anvilproject.org//ancestry,equivalent,2054-5,Black or African American,http://terminology.hl7.org/NamingSystem/CDCREC,
Hispanic or Latino,,Subject,,https://anvilproject.org//ancestry,equivalent,2135-2,Hispanic or Latino,http://terminology.hl7.org/NamingSystem/CDCREC,
Native Hawaiian or Other Pacific Islander,,Subject,,https://anvilproject.org//ancestry,equivalent,2076-8,Native Hawaiian or Other Pacific Islander,http://terminology.hl7.org/NamingSystem/CDCREC,
Other,,Subject,,https://anvilproject.org//ancestry,equivalent,2131-1,Other Race,http://terminology.hl7.org/NamingSystem/CDCREC,
Unknown,,Subject,,https://anvilproject.org//ancestry,equivalent,SNOMED:261665006,Unknown,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
White,,Subject,,https://anvilproject.org//ancestry,equivalent,2106-3,White,http://terminology.hl7.org/NamingSystem/CDCREC,
Affected,,Subject,,https://anvilproject.org//affected_status,equivalent,HP:0032320,Affected,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Possibly affected,,Subject,,https://anvilproject.org//affected_status,source-is-narrower-than-target,HP:0032320,Affected,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Unaffected,,Subject,,https://anvilproject.org//affected_status,equivalent,HP:0032321,Unaffected,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Unknown,,Subject,,https://anvilproject.org//affected_status,equivalent,SNOMED:261665006,Unknown,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Adult onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0003581,Adult onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Childhood onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0011463,Childhood onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Congenital onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0003577,Congenital onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Embryonal onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0011460,Embryonal onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Fetal onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0011461,Fetal onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Infantile onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0003593,Infantile onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Juvenile onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0003621,Juvenile onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Late onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0003584,Late onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Middle age onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0003596,Middle age onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Neonatal onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0003623,Neonatal onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
Unknown,,Subject,,https://anvilproject.org//congenital_status,equivalent,SNOMED:261665006,Unknown,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Young adult onset,,Subject,,https://anvilproject.org//congenital_status,equivalent,HP:0011462,Young adult onset,http://purl.obolibrary.org/obo/hp/hp-international.owl,
arteriovenous malformation systemic artery to pulmonary artery,,Subject,,https://anvilproject.org//phenotype_description,source-is-narrower-than-target,SNOMED:24551003,Arteriovenous malformation,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
enchondromatosis,,Subject,,https://anvilproject.org//phenotype_description,equivalent,SNOMED:268274005,Enchondromatosis,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
fibrocartilaginous dysplasia,,Subject,,https://anvilproject.org//phenotype_description,source-is-narrower-than-target,SNOMED:25723000,Dysplasia,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
hearing loss,,Subject,,https://anvilproject.org//phenotype_description,equivalent,SNOMED:15188001,Hearing loss,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
hyperhidrosis plus other symptoms,,Subject,,https://anvilproject.org//phenotype_description,source-is-narrower-than-target,SNOMED:312230002,Hyperhidrosis,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
inflammatory bowel disease diagnosed before 5 years old,,Subject,,https://anvilproject.org//phenotype_description,source-is-narrower-than-target,SNOMED:24526004,Inflammatory bowel disease,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
orpha:91349,,Subject,,https://anvilproject.org//phenotype_description,equivalent,SNOMED:254962005,Functionless pituitary adenoma,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
pleural effusion,,Subject,,https://anvilproject.org//phenotype_description,equivalent,SNOMED:60046008,Pleural effusion,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
retinal dystrophies,,Subject,,https://anvilproject.org//phenotype_description,equivalent,SNOMED:314407005,Retinal dystrophy,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
subglottic stenosis,,Subject,,https://anvilproject.org//phenotype_description,equivalent,SNOMED:22668006,Subglottic stenosis,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
systemic artery to dilated sac to pulmonary artery.  no right to left shunt.,,Subject,,https://anvilproject.org//phenotype_description,source-is-narrower-than-target,SNOMED:253690003,Systemic to pulmonary collateral artery,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
systemic artery to dilated sac to pulmonary artery. no right to left shunt.,,Subject,,https://anvilproject.org//phenotype_description,source-is-narrower-than-target,SNOMED:253690003,Systemic to pulmonary collateral artery,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
tarlov cyst,,Subject,,https://anvilproject.org//phenotype_description,equivalent,HP:0025643,Tarlov cyst,http://purl.obolibrary.org/obo/hp/hp-international.owl,
ttr-negative amyloidosis,,Subject,,https://anvilproject.org//phenotype_description,source-is-narrower-than-target,SNOMED:17602002,Amyloidosis,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Tier 1,,Subject,,https://anvilproject.org//solve_state,equivalent,SNOMED:277733009,Level 1,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Tier 2,,Subject,,https://anvilproject.org//solve_state,equivalent,SNOMED:277734003,Level 2,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Unsolved,,Subject,,https://anvilproject.org//solve_state,equivalent,SNOMED:263921008,Unresolved,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
