Subject_id,external_id
sb_ec304b7cb3bc4e564ca883bbfdead514,GSS1441
sb_8da17a22a117a0f7c370885fb037fbe1,GSS1119
sb_244ea78920b6e684017daf9f7e3c815f,GSS1502
sb_25a375daf622d2719cfb8ead0c9fe52f,GSS1391
sb_f10e9538d50ebe3b2c5c2d37507c895e,GSS1108
sb_3c40dc54617b5e537c0b50ab304c33ba,GSS1897
sb_ee12247310d6bca8ce38e167292973c8,GSS1752
sb_e964c1302bde82117a3ec337d5042971,GSS1787
sb_5d01bbef6807376a9be468b8177cbc8c,GSS1339
sb_62af627907af530e11ddbfc2ee74d9ec,GSS1704
sb_2db5debf6ab38101cacb6de36260441a,GSS1345
sb_3c163603677f081af8d3d257f722f543,GSS1638
sb_5e0cf66c8a526a80db7eb75d96aacd65,GSS1314
sb_d1a886e3061b627e080f0afd7d85e208,GSS1410
sb_834dc31a74a56d7b840dda5588040068,GSS1355
sb_14004cc4c486c389cca1c17d6daef771,GSS1429
sb_3d639ac80ce6e4500f81cdc97caa7380,GSS1420
sb_5105fed37e92fb797b6c9d45bca5f871,GSS1614
sb_83a69dc6e16a05d5e2dd6335cd3ff1ca,GSS1331
sb_4129597169e7ae2260879cbe6850d88a,GSS1418
sb_9a536c677ddbaf2c6a669f0ce0474313,GSS1412
sb_0c7827a609ae5cdbc6d8aae5e5abf416,GSS1247
