SubjectAssertion_id,external_id
sa_5c5a4709f08da5a8b6f49830ed0cbc0e,GSS1418
sa_1effa0abe4203666fb3925835c783659,GSS1403
sa_1b1f952ce0df50d29dbbef7c67333ac4,GSS1259
sa_4949a39b11156876412696ce6afc8f0e,GSS1517
sa_4af01d998d6131b9bd2f0400dbc3709c,GSS1261
sa_55f7aa7f3a36f78bd582550aa6d24696,GSS1780
sa_a6ed697833b6371f121c41579198705b,GSS1432
sa_50c05aac1d4e64e27522f93bec6a0034,GSS1613
sa_f60a4148627850a4f8964f834b6bc112,GSS1228
sa_eec5c25f0cd29e4d02d29a56fc29ebde,GSS1119
sa_8371218d08fe542b09a705dd5a6d893b,GSS1714
sa_30e460472c89b63e2f00f24b9b36f501,GSS1505
sa_61fb1cca6f789d34e4dde001793085b8,GSS1540
sa_ae2c3be44a8e02e3b94711a1179840d8,GSS1263
sa_0a965aefab2c9bdbdc575faa36afe987,GSS1608
sa_ce0445f521387a2841f512241d0c2c3c,GSS1732
sa_ee7df1c142c4c9deb8d72a2b737c553b,GSS1421
sa_7494925fc007a8d9e5f6c45c0f4c6d48,GSS1259
sa_999aed5a4d9a2c7f07be092bbf83beb8,GSS1727
sa_e53ac5062d466ae9566c3f819ef2f082,GSS1124
sa_48783bb33caad7bec858c6ee4561d558,GSS1704
sa_2c3baee1470923db88aec8b62acfc2db,GSS1228
sa_27e097ab954d814a03e10269ec1619c4,GSS1418
sa_c8301cd0542e515be0e65644777400d1,GSS1614
sa_285dbb5d417d702b4bcccc114f0844f5,GSS1502
sa_379523072492e08f62cc78c061c48b76,GSS2063
sa_431132f4c58dec67607f60e919f290c4,GSS1398
sa_0fc5a7eb92fa095e57bc854a13c96891,GSS1638
sa_87193f2cb666c12747dc4bd41c153c3c,GSS1263
sa_dcf5956e73e92096d8d2eb13b0d550da,GSS1533
sa_7fc707a3e8137d2b31a1604a7e2160f7,GSS1608
sa_c8ec10ee9c15bd4796723a6cfea329df,GSS1377
sa_894c094a2dc6bbfc1644204b6a50ce70,GSS1507
sa_730269dfeee084de19691e9e1e14fb2c,GSS1964
sa_d150148ae91d267ff9384386b3bfc0bf,GSS1507
sa_534b8adcf575854b9bf8de090b488091,GSS1331
sa_e57db6c360b555ccc16e8039fc7cdde7,GSS1468
sa_22f41c8182c7630cdc7ea4b2166b4539,GSS1606
sa_d196ebb3bef55f50831e05018b93cc0b,GSS1310
sa_d2ad17aa97f55f5462f79705ea716082,GSS1651
sa_1dcf262a72f8e7d1e18f74b83458cf89,GSS1681
sa_0478be6d85d6dfcb668ddf4e3c0cbab7,GSS1613
sa_f84669f280bb068853716b9f3df0d30b,GSS1608
sa_a2e325855a7d1b5c9d6681ba329c27ff,GSS1729
sa_d42675fd55f6d1863aea19aed05c6355,GSS1259
sa_2118490708cdeae7935e8d06f706d1b5,GSS1704
sa_ad214f07cd520620d3ff01430f0991db,GSS1398
sa_c0ffc5ed0a7981e49529d99c21bec3b9,GSS1517
sa_903cf94939ca2c3863574e48d357c23c,GSS1124
sa_2615556794b82081673f3dfeaf3c6d25,GSS1516
sa_ae6448cd7767778452a98b4cd2988799,GSS1336
sa_fda89a040d535e71fa83ead2b78b9939,GSS1533
sa_25e731d1104b2a067973feb307826d9e,GSS1357
sa_7552cbfccd5328a881683b1cfbec6eb4,GSS1507
sa_f1849edc24e885fcf3d018004806495e,GSS1533
sa_14a0d8434976091d52989e7272acc05d,GSS1597
sa_daf7ec7d0e6535b10d167a158f95a705,GSS1398
sa_990d4bb70e08465e2cffcfe83fc881ff,GSS1326
sa_4c9afa69172c809eea47071eec8e55b0,GSS1374
sa_ffa280ad636a56c41a03652affaa14db,GSS1629
sa_2c97f91418ed288bc7dac541c45db3d6,GSS1732
sa_e85a9ea2e9305408cb77c0220ccbd993,GSS1421
sa_1e12a895334a1c20acb1872812f4cf58,GSS1374
sa_d88c3fb157241a6aaf239f4e779a28b5,GSS1326
sa_abc52ca223bd06e966b9e3b443deac93,GSS1331
sa_c0d8c7038dcf1e30d92588dbcab5c157,GSS1432
sa_e72accb63f2ed4063c426680fcdcd03c,GSS1629
sa_3b39fa85d022f83de45d5773f1a82cb3,GSS1326
sa_852116d9396e6a5c447befcf662949ca,GSS1261
sa_c551a2b152c1fe8e27e18fa307cf828d,GSS1681
sa_91cfbacf3d40d722fedd32d6aa12343c,GSS1888
sa_06d36f7931f25bc7a9fb68f80998d4bb,GSS1700
sa_ccf3177d3f8e144484ea64f105304591,GSS1727
sa_3d955aecff945a5d89a1d9ca80e2302b,GSS1355
sa_28db9a7e9c578f18492ef3abc60b4ff4,GSS1626
sa_84e856c4a0d1d091efd69510bfd7ae26,GSS1681
sa_31c6495852b5b3ce2c2f0ff3d27d23b0,GSS1202
sa_cdeca32c2212bfe098593713d35de8bb,GSS1420
sa_6c96b8cfbc9deb5cd0900363de6c9e09,GSS1259
sa_8cd064c42dbf2c0af722a44ea2e2f56c,GSS1298
sa_21a5fd6a967610e13a3bc9fe71853aec,GSS1345
sa_2c63b3a98b4e45729e9187b44eadacef,GSS1374
sa_ce933edde9b4416fabbdccba211bf83a,GSS1441
sa_1e402134314cedd993f887c890b52c72,GSS1651
sa_ba4bcf734b86f148690bbd574f122619,GSS1124
sa_aa54ee18b0383505a1dc6c3348b9d821,GSS1681
sa_3b2d7e43802a2ddac0374ceb8967f717,GSS1371
sa_5ee4782074fd848a5f4ab3e8820243fe,GSS1314
sa_276e7d0530e3a9add599ddcf2faae5bd,GSS1614
sa_76d6aff51746b531b936a5142d0cd57c,GSS1298
sa_325ca2b2f79bc266172eaab8d2124937,GSS1888
sa_fa80e2b6a0e229c22c223c7feb35abb7,GSS1918
sa_298e777d86b9d6ec29d7f15a53a5c211,GSS1698
sa_f580fe5443d7dc84071220efe80b2f44,GSS1674
sa_125835e5c7a8f8f1c5aab875337edfa7,GSS1613
sa_3473ebcba3915ae1f8760b84af6fa6b5,GSS1313
sa_73b989eb618518919fc2b69c37b2644c,GSS1326
sa_1f32a03253557b81870e61621693f021,GSS1345
sa_2cfd9c84591e7e2745281279b2660ffc,GSS1609
sa_cf2cdec3a485fa47966be9d01978e128,GSS1507
sa_671d95455cefe6678ffe3399eec8a243,GSS1355
sa_df6c8dd25ce058c990d9ba532acf3454,GSS1732
sa_04dd2e79c3719de8744f7b80f43e3fd4,GSS1609
sa_382cb08171ff7a0bbaf8fafd71f06c5e,GSS1119
sa_f28a932208d7ad98f6299c7ab0cecca6,GSS1667
sa_252a54091e194096d939812ac3cf8f19,GSS1780
sa_deeb906d1153758a7e7e309354fd647b,GSS1638
sa_eb2becfe0a96618ad26af0e06cea3b1e,GSS1377
sa_c0797ae081149f9712bdf58b63853b38,GSS1704
sa_30a389a27002cc1a24e28766107c45af,GSS1745
sa_d6fede2d57e3d6c70828c7300893b54e,GSS1370
sa_4326cc6abb858e0f5f9b616994ae3181,GSS1503
sa_61056c83a082960572f9ea3dacffa5bf,GSS1398
sa_34184a64fbd825ce7666d60f897fef57,GSS1517
sa_99cde36780d7aa21e0429b3034d6ad34,GSS1326
sa_d325065d3d9870aa5cc50d3b3235af7e,GSS1507
sa_37861616322b04556f5321ddd25b19d4,GSS1732
sa_6e930848b1e149261de9190a0c8daf8d,GSS2063
sa_fd32bdb6680e8deb960d5f59d2503a2b,GSS1698
sa_eca827a36df3266ca11f67e405895b69,GSS1507
sa_5d375b25b8fe05bc7a95e2ac96e1532b,GSS1502
sa_a171e237bdd2c17c20ec9966694cb31c,GSS1376
sa_3d00e51869a70545018eda9113f8c58a,GSS1410
sa_9c6205a4b937188a43d9399e66f415ab,GSS1317
sa_ff134c03c26c2503eea4b875480bfc01,GSS1608
sa_3a60c674fdab5bdc602928740b30c67d,GSS1420
sa_75374e30e2982546609a306fbec04b7a,GSS1734
sa_33314c994338b04dc8be5485dea8e822,GSS1338
sa_335912e3ba7c10caafd4cb1241d8d33f,GSS1228
sa_66b4d575958092766600af4cd88b6cfe,GSS1597
sa_cc5ee0a88c292dc23bc2706b1b8db44d,GSS1629
sa_ce3a7cd6250cb10894c501d564b1664b,GSS1745
sa_907fedac301829bed0a71aa815c755a3,GSS1734
sa_d30374b8788dea17674d3f986a7c0def,GSS1445
sa_4388b7334574e0f7b21b0ecdfecf55ac,GSS1745
sa_7c55408188260a6ee31157bf4641f2fc,GSS1605
sa_a28e51eb299ba39606746c33ed21e197,GSS1336
sa_1e67573b9eac49de01aae99c539c4ffd,GSS1714
sa_92a66d513460fad9400cd4bd2313282b,GSS1338
sa_ae837183a126513decdbcff1619291c6,GSS1787
sa_00de6a7cc2d259c7a7d35e17577fb422,GSS1609
sa_f7858f35ea62ad6557e66973a6c9ab54,GSS1298
sa_819ecafd4c75a124eea737c47777e38d,GSS1626
sa_b2844a73c4cb554a72d819c57db0f85d,GSS1638
sa_991c3aea7535355c151f4de302c3be10,GSS1331
sa_a1d7773f266315673e7d94585ce2a6c0,GSS1228
sa_4f126ce4c5a00d18b73399db34d6f5c3,GSS1228
sa_5142cd2d68d50a75b2687248634a0120,GSS1516
sa_0166afeaabb5812eebe27ffc48c4bbef,GSS1444
sa_f6898a8e66b30b059a6e309dbcdabdbc,GSS1310
sa_77463eb5db0cac55ddc861e8228ff67b,GSS1445
sa_a31a246a78ae3cb48a69cd24b6ec32d7,GSS1533
sa_502449bd2ed0cd85935d27ccee19013c,GSS1708
sa_a9d3fdb3b7868d9df36080eec0e70138,GSS1667
sa_fd31b64bf8375cb7d292912d703ebc3c,GSS1326
sa_c606a836b4f14e81ae8b870b817ffb7d,GSS1418
sa_488f445f3eb8852065ddbdb67bb9d783,GSS1481
sa_a75aba885f22ee6d745536c4f49da0f0,GSS1421
sa_67cb550412a3f5609097738391404f06,GSS1745
sa_c4042b9c3a20687cd0695ba1a9c5a61b,GSS1403
sa_1f8299495fa74b548ea78fdb143baebc,GSS1608
sa_fe2c19de1ba47c4cbc87f6b4009da6ac,GSS1613
sa_a294991887f6ef41f10f8a25aed022c8,GSS1507
sa_74eb488dbd1e9580582050ea88120b9d,GSS1392
sa_b956e03ce52207133dd31cc337a38f89,GSS1398
sa_239e43f6a188adda362c41cb9ebdff13,GSS1391
sa_6e66e0187485d3569d140f633a545ad5,GSS1517
sa_91e7017bde959de8526ca7ce10d0f218,GSS1665
sa_3c341623765373d5c3594a3ad3dc3c81,GSS1310
sa_435957fda043113aa1e12673cbfaaaf0,GSS1700
sa_98df927422d2a9648670c024c4a8feb6,GSS1605
sa_4560bdc2c7857f7de09ddfa3762c4ba3,GSS1454
sa_e3a153bcccd6c2c86cc1bf532c12b3c4,GSS1398
sa_219b0d60a2a729fb5fd1cc83a260650d,GSS1608
sa_f4b7d29c6631d26eaf1acead6872d5a3,GSS1614
sa_14de4c55eea5255f5bf6603e89e4736f,GSS1247
sa_c706e96dfd8e29323d40f769dfbdb7c5,GSS1261
sa_62a4457bfc8522e280527de861838b1c,GSS1263
sa_799e9f4d3ae8b2de57dde2b0a1033407,GSS1454
sa_5391e5d5a4c00e6a07ea685d7af3e47a,GSS1374
sa_6078a249c19e600b42eb980512688c05,GSS1261
sa_aa0e8e224806a8bd86a214b265f89caf,GSS1371
sa_3a9aaf27b7e783cdc1875e8aa5e4fe2a,GSS1614
sa_08f878916ed40710f3388a472e19ea20,GSS1597
sa_e0501f3926bb76b29120c684151ee5c6,GSS1355
sa_05c19423a7f880da3173e1785abaa316,GSS1392
sa_98e5213144a2a49250990e3837bb8064,GSS1465
sa_a8439bf786da5a261db3ddbd60f968c3,GSS1108
sa_dc4ecba03a5e3ca3e15a8a95523c5e04,GSS1355
sa_e39cdfe06c124ed9bceb17508fa0f402,GSS1454
sa_6857d31639b71056575d889aeb832940,GSS1108
sa_c4be0bdacae9ba8b22288d490fee5e44,GSS1609
sa_61f93d7e3628bf1644d170e7dc423a04,GSS1629
sa_1c0bcfdaf7b25966799655b1bf48b283,GSS1605
sa_e387fd7f2e826dde2b50995651678b35,GSS1502
sa_a4366a888ac2cefaa45b70170a97f229,GSS1254
sa_212015a7fd1b588e320728026af01457,GSS1370
sa_d0d22b43ff0e5b8918af6ead66787f68,GSS1606
sa_d15d5395a522ad12f72e26e44ce0503f,GSS1516
sa_a9eb8cc99c038c844aac6690e2869f64,GSS1374
sa_4fc9183f4c8e40a0077dcb37ec296f57,GSS1310
sa_5d2b77e75e9de763228038d38c01e686,GSS1108
sa_2338ac013bb73785d139857582b6eed9,GSS1254
sa_e688ff9c9bb77e83d2ce3f7b6a58c2f2,GSS1108
sa_ce6fd5d609735cbcacd8bf2f6129cc20,GSS1371
sa_45fea70b021cd116755120ab948fc688,GSS1370
sa_51fd52aa01523a55bec2cfb3a7c05dce,GSS1339
sa_05d24b3ea8b98dadb29a55daf6835ca6,GSS1502
sa_e36ca899535715601334a1fa89cc0873,GSS1918
sa_58880ffb4b8c5fe1a2e63a2e223da792,GSS1619
sa_21d989b657a8abef5c780f0b0d763371,GSS1517
sa_3390aefd766740ce07c5a84b89b12edd,GSS1345
sa_b0b317bcc0aa1b07dfa4517372136596,GSS1421
sa_e8f6749895e6f565e97b1a367b9583ea,GSS1918
sa_32a44251fd774fee3de6282c7b4c0a42,GSS1727
sa_1aa87fb61ed53a9808bfa20d83f98b5b,GSS1540
sa_bec3baac51eea93ab7429e8362acbbdc,GSS1445
sa_2bd605d1580e45af2cbde481a761e0d7,GSS1533
sa_977d56f0303d2e152f1c909202fe5de1,GSS1964
sa_340797c4cf8d4a976fb1321b2b57d4da,GSS1533
sa_aa838e470422235df14b07fcd4de9fa2,GSS1261
sa_2eb8a390493a5bcaaca37fc297a5bf39,GSS1339
sa_15e30e724aad9d6ef1db73f3992e86e5,GSS1374
sa_b9cc8359823d09bf1a9bed4dea132663,GSS1597
sa_ff7e9c4c672af48e2f42c24091d6f733,GSS1964
sa_512c6595f74804c849c2d8355ef16a56,GSS1674
sa_36724772365880270c21e05a7f605c91,GSS1714
sa_ec418c38d65fbbc16d11059303c9a625,GSS1468
sa_46d36fb66c5df364866840de600d19ed,GSS1202
sa_af227b7d52671d453de6b7480ba21818,GSS1780
sa_8be58a054b66e601df15e056497d4d1e,GSS1298
sa_396be232290f738d1abc31a03488e658,GSS1704
sa_773faa71540808c8fd90418eb564b86d,GSS1339
sa_7197ab05523e1365a1dda21224627f55,GSS1432
sa_155faecba83de5bb6c1a3e1f93dec437,GSS1819
sa_0a995da727233fc7b676fd5bee2d687c,GSS1704
sa_f947a86f8d2a5fd647d34fd652ee7643,GSS1261
sa_8711953b7e45021bc423e358b5df34ed,GSS1613
sa_e474730f7cb9c852cae3a823e3d18b31,GSS1420
sa_545dab6a78a2304d20f25a6fa5d443a0,GSS1698
sa_9ac0f4f454766858617f3218cda784e6,GSS1502
sa_4e853a9225eebc67a8114dd45bf3cbad,GSS1314
sa_158cb903c8ebc0f0a264053f90719945,GSS1468
sa_2d348fbe7e7b744643f2783d4bb3fc63,GSS1432
sa_93372a8ce809f6a63ee29015f3acfb0e,GSS1310
sa_fd69abab360366bc9dece636695387f8,GSS1339
sa_75798f83eb197966589d0197fa1456df,GSS1619
sa_877aa347612ce0598cf3de62b645186e,GSS1517
sa_a68f786efcbd5b1c2b0d48701cb4e076,GSS1503
sa_6569ee38188af1532e9226b280959fbe,GSS1355
sa_8724c1ebdc976dd9afe1008fd0bf5d72,GSS1445
sa_3d38abc48c4852969e5a87f90d6e971a,GSS1441
sa_cdafb3d0850f69d424bde0836784441b,GSS1505
sa_44b5c865adcb8528a9f5d4b00cb25d35,GSS1392
sa_20d3421572d1bba1005929eea8e949f6,GSS1254
sa_1327e81c2e5620dbf00d64a24c782cda,GSS1745
sa_d8c2c90a522324f33ce25a79de14ba1f,GSS1732
sa_b623607c2b7caa5c26db36f6fe98f8a8,GSS1819
sa_5c465d10db8783597c2f3918a5587f11,GSS1734
sa_9fa6e4b623eba53207405478d54345dd,GSS1502
sa_f64ce172a93dc3047cdcbeeb746f42a2,GSS1503
sa_bb6f7d0bbf7c34b3c69f6aaa327bd594,GSS1465
sa_4224ea5a7478b76551ccd760a699b6a4,GSS1517
sa_7bb59b516904a3917b22d769299fcb1d,GSS1336
sa_4cbbbe4f9f69d41d1faae1c0f863d8a0,GSS1468
sa_f5b8ccd3f5ceb01f8a6db639a4855f18,GSS1460
sa_6fd6d881785ae61eef9b34a2cfe1ec10,GSS1403
sa_582b3dd573d8bea31a4da5ff76af76cf,GSS1418
sa_c5ef82ffd73b633c8d24e29514ba6a14,GSS1698
sa_a7a6aa5381c5c239107183a6e92ae91b,GSS1626
sa_63554bfa066bcf0608e909b372c33de7,GSS1124
sa_6074a63007cd4654c1101c918b983c26,GSS1022
sa_81947429420013759b70c75ac3ef673a,GSS1708
sa_c42503967e361dc690f2f27346e60870,GSS1629
sa_ec72830f80d56e1f24dea2be5b1c39c0,GSS1481
sa_67cec785a9054fbd1fa904327fb88bbc,GSS1343
sa_94f7431285810c07cc2040f0cf5a2685,GSS1331
sa_9c48947083a1387e57dd84c56fbf5642,GSS1022
sa_decc7d37d39c9fce45779a7f59469648,GSS1501
sa_5b21ebd1a8de3ac7da68c3181d225a70,GSS1421
sa_fe12285b1347b5fa04eff0af66480fc8,GSS1331
sa_64da663597a9a171a6a6bb4077b598a7,GSS1606
sa_ae62d92ffc56e58bcb5f8418d25ed07e,GSS1460
sa_db7c8ab5b9d9e498a72e3829ab7b7ebc,GSS1918
sa_b693f3727358ed28fb1fe93ac8be1824,GSS1698
sa_50227d9791a0dee9ed000f0d246a1fc4,GSS1108
sa_bd23afb0f3f3d22d64cc20d5f75275a0,GSS1376
sa_b6a245a36b430630dc8167d419c1c62e,GSS1501
sa_dfbf078155a216ef189cfcf1f1ac0496,GSS1667
sa_99b2b2e02ec6b4ab5b71303aa922287b,GSS1263
sa_7484c8702e9660623064cf44c5fbcad3,GSS1507
sa_16bd460ec7ba50e147d9a2a540c14046,GSS1022
sa_3e999acc25b0c56a67b886e135a45b3e,GSS1708
sa_245dd521c370cb29ba7a89efd4d336d0,GSS1665
sa_b303e6ea356aeb72330f36c4bd2f3df1,GSS1533
sa_19bc9f7832da4fcf917eb2af003d10c4,GSS1398
sa_d4b24697ed1be61ddae0f7972f91c7fe,GSS1540
sa_93bff77760b13ace71bc69350b74fd1e,GSS1503
sa_8ae68285c4ede7815134a48ce7f3c808,GSS1392
sa_c198749ef5295f039b46277881175196,GSS1918
sa_e9d8221ae67a9f8fa7649448a3c6ea41,GSS1432
sa_0b92a7ce66823d9c404e35139f0468e1,GSS1638
sa_89a94bc825266fae4f1daf1589d75511,GSS1507
sa_7c85b8d888a4d4df20694a2aeca97e82,GSS1507
sa_101d52503d8f4b7d9fc2b95fc43008f6,GSS1704
sa_872dc0984ada150692321b637459ec19,GSS1403
sa_e0547295d0e195257ab1c3c4120d2608,GSS1460
sa_da512fe89c5d74c732c6d14f4aa0d3c8,GSS1339
sa_e37599a3b101921f6ab9c44883fdc8e4,GSS1897
sa_aeaa5ad5f300200f1c3be83d77693fe5,GSS1540
sa_128efb9a84bdae4728039624b530ab7e,GSS1918
sa_bd43539097ce2b92c0938e24a0336484,GSS1964
sa_22bcf410062de4a518c388ca2ee29b5b,GSS1517
sa_e7226e575a40f679c631d5faf07ddc3d,GSS1505
sa_74dc6d0dbc6a1b707695810456960cee,GSS1729
sa_20afb0b3f68c78fdd6d2074df1bb3ecc,GSS1383
sa_eda82d2f53038821ff9948ecbf4ff645,GSS1377
sa_39240a609e5dbb9e834dd2fa6802b886,GSS1444
sa_8dec2cfd26da4aa959163e928e001175,GSS1336
sa_2e63abc4c13ec02bdadc5e9d72e658db,GSS1734
sa_ef534428bc3610c9d5d70e8859ab8d7a,GSS1897
sa_df48cfa72dc3bcbf620e0f305270b5f9,GSS1418
sa_acc05a278a79f63f78d42544d4ec5bfa,GSS1119
sa_3c12b44bf2cc0419bb509868ba883bbc,GSS1370
sa_4827314adce4e44b5215c48c4a3ae0ff,GSS1339
sa_a3f99518491c0ca8d8cc8da1cc34354e,GSS1606
sa_d59a6021169a571e41c2161a43a4ed87,GSS1420
sa_4eda1effa50b02aeac13e899eb51613b,GSS1432
sa_6e099cfd0f0c38b7de05981f6db41821,GSS1263
sa_487293d145f0b49c50c4e59bd1dd2140,GSS1228
sa_8c37b467ceede44b92be9dfb3963d601,GSS1540
sa_1c2cc416fb5c6208ebb00e89c8414b78,GSS1313
sa_edde5b5d4aa2341f323d769520fa6025,GSS1734
sa_53340d22a50f010744f7268042e213e2,GSS1374
sa_588c274d34e31de9ca3d8d8c76958659,GSS1727
sa_27d353eb0344158c88eeb368dbf9e21e,GSS1317
sa_631c70b0fefec94d1a74758f701d12f1,GSS1629
sa_cd7466a65c346ee5a353e7978569b03c,GSS1533
sa_2738835a5726b99764285bd56d8be6a7,GSS1918
sa_9c2ea117385d650c42061ba680471cd3,GSS1517
sa_82a7e01584172b4589f2fd74b17d6cc2,GSS1614
sa_d36f36e528739f8b206eee75f3b24804,GSS1629
sa_99b62fe9cd4914855c1c3a139b4e6b35,GSS1468
sa_95ccc081bdabde236738577c38908ca0,GSS1629
sa_40a02177828a11d0e137815bdf206b66,GSS1918
sa_181779b3fba482315bb66cfc22fb6d17,GSS1391
sa_844362ef3c157afc360ae7093f8ec57c,GSS1376
sa_f1bcb8f715d60a6a2e958ed543a6e356,GSS1502
sa_1e67ac7df73c5314c2303a763f760aa2,GSS1704
sa_72fbe00e829837932e5e74756439a92f,GSS1410
sa_b2e8a74909cef04907a23225208dfd00,GSS1918
sa_17d579b086f5d05ef76c3a945e31546f,GSS1468
sa_5f2956fe7619f99a23a6722fca0c604e,GSS1317
sa_c99279a2d8577fcdc620d2f537d68ed9,GSS1418
sa_7632d25cdfb92fe08dcbf7b0bd95c474,GSS1310
sa_c4a7fafd1e058bdde9a05d3bfda6acbb,GSS1391
sa_095917c0d948b1716758f2819f470740,GSS1022
sa_35e1d1823719205e9ac765cf868cf223,GSS1298
sa_61a4436e37a36dfb44a430393747e783,GSS1704
sa_3ff6505787c890f88b8c25b71249e9a0,GSS1502
sa_0e4e636c16eab77ab24dc753e672c5f7,GSS1410
sa_a991d56209f4d00b5b07f9e4fed4b5ac,GSS1507
sa_3d2da1e27ce1934a007832e2f16f6975,GSS1119
sa_e9f845a1887468c056257f21e31e44e3,GSS1533
sa_03b42bda442f9a5b7ec245e3ab6b65d3,GSS1468
sa_d26998b2cc2ce89cade1a0a2755c8a4c,GSS1501
sa_733bb96c7b5e205ab8d52bac2574f250,GSS1727
sa_33548872da830667d05df953f4e3b0ec,GSS1343
sa_c2cc512cfeebfbc5d2b55276bd396008,GSS1313
sa_716cac43b6aa7038d57619b3fc883421,GSS1412
sa_3992a45a30572c583aaeaf431b00a128,GSS1667
sa_5770fe5a1fb9a21dd7632f2a50b691ce,GSS1516
sa_5c301e6d480cb848fa4447d455685334,GSS1420
sa_cb78b873ada3d34a2caa70e862535737,GSS1465
sa_7247b2d9d8ca49847c34d9fc037eed0b,GSS1119
sa_08e1bcc3c8120a5402fcb2e4ed045513,GSS2063
sa_fad1b2c889d55a56a857fcb7b82b9bf0,GSS1780
sa_abb84d46d240f5946a69b848ca3a9fcb,GSS1481
sa_e30c872e1e2395e21c72d62c5f4f71df,GSS1376
sa_9968ebfaf6ba34bc18fc2a41cd12cc4c,GSS1897
sa_d777b959bcbe72fb5a712d866531c4cb,GSS1501
