family_member,family_role,has_access_policy,id,family_id
fm_8e96cfe50259c80deb55ca87f00eadf7,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_549d1ded05e059bad89368f9bbb72721,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_a3acb17a6d4291d41e3a827ed0ad3fb0,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_1ee71b3329dbe547caaab528e67ef8be,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4902cb9c68819753fe917da076dff31d,CHILD,ap_6afb041625efc9e04478b97493808bf2,fm_03cb6b5b6be5d80c891ecb713babe6b0,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4a35d7f3111ccc33190201f7b689b632,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_6b05ac30665ea660ef8dad1a7baeb595,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_635e3dfbfbb35214240b2b0d8aa743c3,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_794b1dae68dfe0e2ac7ca1c09427fb23,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_59bac09c4ab1c64c64f0b8fb7aa11c9b,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_d10e1e21f86539262103c695d4abeb80,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_d8064d0a15584b4b7bd2678a18942b41,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_4146677d600eced4aaf83d5858616f2f,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_1405c211538514c6fce9b8d50e27080a,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_c09d5ce7f4e94613e21e6262ff9a133a,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_7a7c623a1ce15313cacdb591a2350321,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_ccc514a68ebb2df94860bcde2cc1879e,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_63820cb524bb84582dc81db40cf5dff2,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_b548ddd0b30a75532ed94ec3481dc932,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_2fd4da8b38009757974ef1fa9083d431,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_90bb9ac4feec28d325773c5e4643e233,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_2a4695e06ecaa19834b791d475abc0c9,CHILD,ap_6afb041625efc9e04478b97493808bf2,fm_9b98154db9e181f968b1965b99c5ee9d,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_a3acb17a6d4291d41e3a827ed0ad3fb0,MTH,ap_6afb041625efc9e04478b97493808bf2,fm_1ee71b3329dbe547caaab528e67ef8be,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_2f379e5faf67e8eed764a70fb398bc85,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_bc2968970c7788d1aa735e4261b7cba6,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_6333b117709b285843ef1143080ac0d1,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_ee23e052fce5c9bc3d85e99eba5bf2de,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_9547c11bd409b94b2d0549ffe44fd445,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_a6a9d9e34170632c072fd654bc4b2e5e,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_b1e86a99ee6238fc9a2f8154a5b74d70,CHILD,ap_6afb041625efc9e04478b97493808bf2,fm_a96bcc10965644dd6aa7875da9c2f721,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_f165ac59e605592b8232e7708bc97dc5,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_0c98f7ea45a34963f48579ba9b6883ca,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_e3603cdf121b8b945a66ddbb8a22c307,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_03d1ff4862a3a2c468652e36bc984ef6,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4a1a56a65270a7708587c4b1f89bf890,CHILD,ap_6afb041625efc9e04478b97493808bf2,fm_a85d9491edffd3c292fc58c6ba5c9168,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4f3c53fea15390a00e15abe479149af6,CHILD,ap_6afb041625efc9e04478b97493808bf2,fm_12f02a860b473c70731b88933844c17a,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_e4fdd19d6a71131e0ab31c019e09520b,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_bb41b08ba6083ffef992f94888c28ba1,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_1081c6bacc9b9f01f2e6b8c5538558d8,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_ca03835cfbe0450f85b5543b5ae2ef9a,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_ae0a525d90afdde2d82ba4998f9bece7,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_b03f52483cb1a03ca4f808af0e3767e4,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_95d4d7fcb587579dd35c95e399dd4d54,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_5942bd37261226a19de8c46890890e94,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_397da6d9abcb6d2b4d2da0d2aaeca038,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_b9abc64f8762a7fa3d8fd66431913105,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_79c0773adfb70709a62cd3a8439d4c12,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_04a2c08ca0573ae947844dfe930aa0b4,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_79cdf3fd961a412508ae8d562d3f295f,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_2ad0f230737795b3862843a7062f4b80,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_746d6a7c9cd0f344538875258a5f5bf0,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_0b39138481d34690d8b31b1a81b4db3f,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_1d5be35e5f6aae442c1d827b5618215e,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_e62578a1da279a6058f8f7883da5f5f8,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_95ebee960f2615c80f61633ad4294256,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_be7dc5e0e077c67eb11cb1d2b874e22c,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_75c5ee0fc25debd28cdb6887c7d93717,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_81219fe683438d40cbae0d5550c32e08,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_d7ed288137ffc3a3c5f84ed8b480c464,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_0cb7f1f8ebe0d5bda3c6396fa38ea78f,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_f7dde0c1fbd68f1f2667570627c0e299,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_722a4b8f270d1295e87a481a73a52b05,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_446cee22a9a53bfdd95f644cb6e00036,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_c3c39071adca166970928460ce16d73f,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_93f8346f970eecf9820576337aae00a9,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_de78abc21436933879f098a67f1db867,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_6d3c8a3479561aa5df2ee42e418979eb,MTH,ap_6afb041625efc9e04478b97493808bf2,fm_c2f5fefd09900dc1edbff582941d0f47,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_e5dacf40dfbd1c4bc8b94f994206ce3d,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_f997e595898b288f2297a28b4c6f41d5,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_db85312a2d343188cae2b358e98a4684,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_b14e1cca7648ba98bd65471056488489,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_640272b319c41057ed775753abbc38fa,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_807dd3a6f4877bc44096664f91e5001b,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_85200bf14cd6578925c07ecbaf882db5,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_fd324f2c892df98aa635d3f3317a7bf2,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_2e6a0037ba58fa198029f267d20b9990,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_656131e4871bb8ddf48d43945eafc65c,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_6500ad052c8bab8209262245f27d24e6,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_2162e922e36bc509b2b45d9500ede40b,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_1634e1dae5db4b985a06f737f28ed968,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_4d7edbe6b8318cb6191916f3f84bd68d,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_6afff615ef12777aadee3a4fc89e0840,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_db4baab1715348dee882d29c8703b740,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_816e57f2d220fe799e3819bb8eabf34a,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_9fcc6d511851c60021cc85a5244f300f,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_aa54477cf30323ca991f935625398c3c,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_e1e647f2be9b52c6fba5a3fe7d93a0aa,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4a27c9f9eccfc4a8e8618606da088976,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_837623bc6df84275f8f6721b2ec91e38,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_a719852d8de25940424a21d272bcf1d5,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_e53a35e6a049c36a69c310799cbca664,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_5147458a287d59d7ebdf2244b698b585,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_800d220b46da62089789a866f1b82156,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_8c2d9712081211a6a6164b319d2374ce,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_54e0d09a0669f65befdb5daa5aa82ec8,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_6d566812b29f8a5ea52aed6518d75141,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_bc635b0925573ec25d46b0c0f71f4e49,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_899fa00587266351bc8382193ba8a767,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_424345828dfd051178502dade50c842b,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_40f1d63a0274e14f81eeafcb5efe0508,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_9e78d79509538463eabd0ba73f82a605,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_8373c543871b7b06731ed90a1703d107,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_3a6de28590f64c02065f7784e81112b8,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_9fbc1edf7c49c2ad2731fe75d62b2b9d,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_41b205f7a33151a1fbbc526cd66be712,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_eb5d5a26451f713aa0884c5ac2954b6a,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_2f676d1b9f2ffc171daf06c9bbff830b,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_01d98be228c5b1d8f5cf7836a46db94b,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_c065a18e9b90a520707626e9670fb969,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_bbbbdfdb305c3885db941f90063900dc,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_378632bfea82c23050e5627b6e21acb2,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_343ee98584356d67617429a90ebad49f,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_f2a2c9f3a34e06c7f9de0a42a7886966,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_175eabb74e63b773757482d336d0bd78,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_a721b9a9f37a4531e6215446f1e8e174,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_9b8bb0745a5899842c2239e14001f03f,CHILD,ap_6afb041625efc9e04478b97493808bf2,fm_a398b61c093e9fa69b3119f69a16dc0a,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_20c559b75a76197d890c2b036c5e483e,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_e1eff547d2f8f7ddbd7fee7757ce0a09,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_9bd463d1799f10d1aec409b917506335,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_72ed851313809da08a2070a11f75d302,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4c60fa32b136fb67d7247751bb0f4439,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_0be67772bca65880ef530b3655c0862b,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_9e44c9bc352a33b2bef3f4860233c0bb,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_670200190c857ae670e73ef30c963a6e,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_1082e196632eb88ff3f8e840068424fe,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_b8ceff576038eeec0bf4e9a4e0dd91a0,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4bf2bd7a46499af5c183aee13e203c9d,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_d9df0ed668c7b30b411fbcda2c78703b,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_460f9d46f7e4d2e1a06dc4313829f2b6,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_7412c6eadeb55d89504fbd6f98e4b217,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_dc7df5b58b926f4ea3e8ee50c20a0ed0,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_34fa57ff67eb0e72eceb32a1bd04fb90,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_092dd45d958fcb0a2cf2d98052672dd5,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_1a179ab9161501266de9043de6dce21b,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_b90c80013fca62359a1356565ca4956c,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_f7fa1a8139fe6d50cb31771deadc77f7,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_2d4341765da69da9c7e98f596f2ba158,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_7bdf40e21d9308049c229c8dd0b9a1e6,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4a91fd2c689cbe3802cab17b96c8ec81,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_9e67c373a33862b20f034a4467005458,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_919889b78eca7500167fba22440ccc24,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_c759ba3f99d8f4dc23127ce0887c5322,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4de06b16a7a7c31fa5026170262d8afc,FTH,ap_6afb041625efc9e04478b97493808bf2,fm_7c02f60bf3a3eaabf34810f01e6c500e,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_6abcfcc8c4335cf61f0c3596a79046f7,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_6728e01c003c83695f6283e60c59ecae,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_34e48b7eeac249d7ccc94ed2d58f6ff0,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_76d29f8860560c6066ecdfbb26fbd4f4,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_114c6360b9bfa81fbe4a3ad84e796bf9,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_a6a75d421e22f15da2e4e82a14542aee,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_6d95f83ac01698009a6b04ad9e3fed78,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_8a76b256253e5303d2f6416da3f4f577,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_53e8d4db5c31748e04b1239f823c0e07,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_819ebb5e6102ca286ea68e31697511a3,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_c31077d5af3f00c8cd2e353deb1f97fd,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_0dcdd9451a424a133471d8e4313a8bb6,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_534ceea22e6961f39f7413a2d27be44a,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_d9b7e8ffadd8a2a125df2d54869e9ee1,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_2aa4e65eb4de0f5e096a3872f2fea79c,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_f914f0826ffdc1d6f870aab238cc21e2,fy_f9f2e8087ca2153be6795acef1d4c97a
